# form	pos	lemma	sense	freq
ཀེའུ				9
ཀེའུ་ཙེ				3
ཀེའུ་ཚང				122
ཀེར་རེ				1
ཀོ				646
ཀོ་གདན				1
ཀོ་ཅི				42
ཀོ་ཆུ				4
ཀོ་ཊ				60
ཀོ་བ				168
ཀོ་བྱི་ལ				4
ཀོ་མཁན				18
ཀོ་མོག				14
ཀོ་ཙེ				2
ཀོ་རེ				1
ཀོ་རོ				16
ཀོ་ལ				18
ཀོ་ལེ				2
ཀོ་ལོང				313
ཀོ་ལྕག				3
ཀོ་ལྤགས				237
ཀོ་ཤ				38
ཀོ་ཥ				36
ཀོ་སྐོ				14
ཀོག				34
ཀོང་ཀོང				2
ཀོང་ཆས				1
ཀོང་ཇོ				26
ཀོང་པོ				160
ཀོང་པོ་བུ་ཆུ				3
ཀོང་བུ				421
ཀོང་མོ				2
ཀོང་ཡུལ				74
ཀོང་རྣ				1
ཀོར				609
ཀོལ་མ				3
ཀོས་ཀོ				17
ཀོས་ཐག				1
ཀྱག་ཀྱོག				5
ཀྱར་ཀྱོར				1
ཀྱལ་ཀ				138
ཀྱི་ལྕེ				12
ཀྱི་ཧུད				681
ཀྱུ				1252
ཀྱུ་མ				5
ཀྱུ་རུ་རུ				1
ཀྱུར་ཀྱུར				4
ཀྱེ				5001
ཀྱེ་མ				3004
ཀྱེ་མ་ཧོ				1
ཀྱེ་རྡོར				398
ཀྱེ་ཧུ				2
ཀྱེ་ཧུད				217
ཀྱེད				12
ཀྱོ་བ				41
ཀྱོག་པ				5
ཀྱོག་པོ				75
ཀྱོག་བཤད				8
ཀྱོག་ཤད				1
ཀྱོང་ཀྱོང				2
ཀྱོང་པོ				1
ཀྲད				1
ཀྲད་པ				3
ཀྲབ་ཀྲབ				4
ཀྲི་ཡ				41
ཀྲུགས				3
ཀྲུང་ཀྲུང				17
ཀྲུམ				8
ཀྲོང་ཀྲོང				6
ཀྲོང་ངེ་བ				4
ཀླ་ཀློ				89
ཀླག				23
ཀླག་ཅོར				52
ཀླགས་པ				40
ཀླད				1164
ཀླད་ཀོར				103
ཀླད་གཟེར				29
ཀླད་དོན				25
ཀླད་པ				950
ཀླད་ཕོར				1
ཀླད་མ				1
ཀླད་མེད				1
ཀླད་རྒྱ				11
ཀླད་རྒྱས				47
ཀླད་སྲིན				2
ཀླན་ཀ				938
ཀླན་པ				4
ཀླབ				1
ཀླམ་པ				1
ཀླས				218
ཀླས་པ				327
ཀླུ				16929
ཀླུ་ཁང				20
ཀླུ་གཉན				268
ཀླུ་གཏོར				47
ཀླུ་གནོད				4
ཀླུ་ཆེན				308
ཀླུ་ཐེབས				11
ཀླུ་དབང				335
ཀླུ་དུག				5
ཀླུ་ནད				44
ཀླུ་བདག				10
ཀླུ་བདུད				7
ཀླུ་བཙན				13
ཀླུ་མོ				330
ཀླུ་འབུམ				38
ཀླུ་རྒྱལ				65
ཀླུ་ཤིང				54
ཀླུ་སྒྲུབ				6811
ཀླུ་སྨན				144
ཀླུང				4581
ཀླུང་ཁང				1
ཀླུང་པ				17
ཀླུང་མ				1
ཀླུང་རྒྱུན				4
ཀླུང་རྟ				8
ཀླུང་ཤོད				4
ཀླུངས				43
ཀླུབ				8
ཀླུབ་པ				4
ཀླུབས				79
ཀློ་ཡུལ				3
ཀློག				1315
ཀློག་པ				2008
ཀློག་འདོན				26
ཀློག་སྐྱ				80
ཀློགས				40
ཀློང				9545
ཀློང་གྱུར				4
ཀློང་ཆེན				278
ཀློང་འཁོར				5
ཀློང་འཁྱིལ				4
ཀློང་ཡངས				490
ཀློང་རྡོལ				26
ཀློང་སྡེ				9
ཁ				69891
ཁ་ཁ				1054
ཁ་ཁུ				6
ཁ་ཁེངས				1
ཁ་ཁེབས				2
ཁ་ཁྱེར				983
ཁ་ཁྲམ				1
ཁ་ཁྲལ				11
ཁ་ཁྲིམས				4
ཁ་གང				96
ཁ་གང་མ				4
ཁ་གཅོད				29
ཁ་གཏད་པ				2
ཁ་གཏམ				28
ཁ་གཏིང				13
ཁ་གདན				4
ཁ་གཟར				29
ཁ་གཡོགས				6
ཁ་གཤགས				2
ཁ་གསག				226
ཁ་གསབ				1
ཁ་གསལ				66
ཁ་གསོས				15
ཁ་གྱེས་པ				6
ཁ་གྲངས				20
ཁ་གྲུ				2
ཁ་གླལ་བ				1
ཁ་ངན				37
ཁ་ངོ				2
ཁ་ཆ				25
ཁ་ཆག				12
ཁ་ཆད				6
ཁ་ཆབ				3
ཁ་ཆར				128
ཁ་ཆིངས				59
ཁ་ཆུ				145
ཁ་ཆེ				1522
ཁ་ཆེམས				119
ཁ་ཆོས				110
ཁ་ཉིན				1
ཁ་ཉུང་བ				1
ཁ་ཏ				163
ཁ་ཏ་བ				2
ཁ་ཏོག				8
ཁ་ཏོན				1852
ཁ་ཐབས				12
ཁ་ཐལ				3
ཁ་ཐལ་བ				1
ཁ་ཐུག				12
ཁ་ཐུམ				3
ཁ་ཐོག				2
ཁ་ཐོར				2
ཁ་ད་ཆད				7
ཁ་དཀར་པོ				11
ཁ་དག				16
ཁ་དན				11
ཁ་དཔེ				2
ཁ་དབང				1
ཁ་དབྲག				4
ཁ་དམ་པོ				1
ཁ་དམར				11
ཁ་དམར་བ				3
ཁ་དི་ར				2
ཁ་དུམ་པ				13
ཁ་དོག				21825
ཁ་དྲག				19
ཁ་དྲངས				3
ཁ་དྲི				10
ཁ་དྲོ				8
ཁ་ནག				17
ཁ་ནིང				14
ཁ་ནུབ				34
ཁ་པ				380
ཁ་པོ				52
ཁ་ཕོ				34
ཁ་ཕོར				22
ཁ་ཕྱི				27
ཁ་ཕྱིས				2
ཁ་ཕྱེ				5
ཁ་ཕྱོགས				142
ཁ་ཕྲུ				110
ཁ་བ				1124
ཁ་བཀུག				1
ཁ་བཀྲམ				2
ཁ་བཏགས				20
ཁ་བད				116
ཁ་བརྒྱ				2
ཁ་བརྡ				6
ཁ་བཤད				122
ཁ་བཤལ				8
ཁ་བསོད				1
ཁ་བྱང				343
ཁ་བྲག				17
ཁ་མང་པོ				1
ཁ་མངལ				1
ཁ་མཆུ				147
ཁ་མཉམ				2
ཁ་མདོག				18
ཁ་མཚར				1
ཁ་མཚུལ				4
ཁ་མུར				1
ཁ་མོ				25
ཁ་ཙམ				2
ཁ་ཚ				53
ཁ་ཚ་བ				6
ཁ་ཚང				8
ཁ་ཚད				4
ཁ་ཚན				1
ཁ་ཚར				149
ཁ་ཚིག				25
ཁ་ཚོད				1
ཁ་ཚོན				406
ཁ་ཞུན				1
ཁ་ཞེ				116
ཁ་ཞེང				41
ཁ་ཞེན				1
ཁ་ཟས				4933
ཁ་ཟུར				1
ཁ་འགྱེད				2
ཁ་འཆམ				4
ཁ་འཆལ				17
ཁ་འཆིང				15
ཁ་འཆོལ				1
ཁ་འཇམ				9
ཁ་འདམ				2
ཁ་འདར				2
ཁ་འདུམ				2
ཁ་འདེབས				3
ཁ་འདོན				99
ཁ་འཕྱུར				1
ཁ་འབུད				1
ཁ་འབུས				19
ཁ་འབྱམས				97
ཁ་འཛིན				243
ཁ་འཛུམ				6
ཁ་འོག				12
ཁ་ཡ				4
ཁ་ཡག				4
ཁ་ཡར				15
ཁ་ཡིག				22
ཁ་ཡོག				25
ཁ་ཡོན				1
ཁ་ར				69
ཁ་རལ་བ				2
ཁ་རས				25
ཁ་རིམས				1
ཁ་རུ				154
ཁ་རུ་ཚྭ				13
ཁ་རོ				15
ཁ་རོག				153
ཁ་རྒྱ				8
ཁ་རྒྱན				768
ཁ་རྒྱུག				2
ཁ་རྒྱུན				9
ཁ་རྗེ				40
ཁ་རྩང				36
ཁ་རྩལ				4
ཁ་རྩིས				2
ཁ་རྩོད				1
ཁ་ལག				84
ཁ་ལང				1
ཁ་ལན				15
ཁ་ལབ				1
ཁ་ལས				93
ཁ་ལེན				7
ཁ་ལེབ				1
ཁ་ལོ				348
ཁ་ལོ་པ				37
ཁ་ལོག				18
ཁ་ལྟ་བ				3
ཁ་ལྟས				17
ཁ་ལྷག				4
ཁ་ཤ				58
ཁ་ཤགས				13
ཁ་ཤས				216
ཁ་ཤིང				1
ཁ་ཤུགས				11
ཁ་ཤོ				1
ཁ་ཤོབ				1
ཁ་ས				82
ཁ་སང				267
ཁ་སེང				4
ཁ་སོ				39
ཁ་སྐད				9
ཁ་སྐོང				2094
ཁ་སྐོམ				13
ཁ་སྐྱུར				5
ཁ་སྐྱེངས				3
ཁ་སྐྱོང				2
ཁ་སྒོ				62
ཁ་སྒྲོག				1
ཁ་སྟབས				3
ཁ་སྟོང				4
ཁ་སྟོབས				4
ཁ་སྣོན				15
ཁ་སྤུ				698
ཁ་སྤྲད				3
ཁ་སྤྲོད				63
ཁ་སྦྱར				158
ཁ་སྦྱོར				1938
ཁ་སྨྲས				59
ཁ་སློང				1
ཁ་སློབ				9
ཁག				605
ཁག་ཁག				2
ཁག་པོ				55
ཁག་མེད				2
ཁག་སྦྱོང				3
ཁང་ཁྱིམ				511
ཁང་གཞི				1
ཁང་ཆེན				402
ཁང་ཐོག				182
ཁང་དམར				13
ཁང་པ				4730
ཁང་བདག				6
ཁང་བཟང				1078
ཁང་བུ				593
ཁང་མིག				48
ཁང་མོ་ཆེ				10
ཁང་ཚན				8
ཁང་ཞིང				19
ཁང་རུལ				40
ཁང་རྨང				15
ཁང་རྩིག				2
ཁང་སྒྲོམ				107
ཁད				820
ཁད་མཉམ				13
ཁབ				4897
ཁབ་མགོ				1
ཁབ་མིག				43
ཁབ་རལ				42
ཁབ་རྩེ				6
ཁབ་ལེན				69
ཁབ་སོ				2
ཁབ་སྲུབ				1
ཁབས				2
ཁམ				2097
ཁམ་ཆུང				8
ཁམ་དཀར				1
ཁམ་དམར				1
ཁམ་ནག				181
ཁམ་པ				333
ཁམ་ཕོར				158
ཁམ་བུ				93
ཁམ་ཚད				13
ཁམ་ཚིག				1
ཁམ་ཟས				83
ཁམ་འཕྲོ				2
ཁམ་ས				4
ཁམ་སེར				40
ཁམས				100683
ཁམས་པ				906
ཁམས་སྨད				1
ཁར་རྗེ				3
ཁར་རྩང				8
ཁར་སང				84
ཁལ				879
ཁལ་ཁ				7
ཁལ་གཡག				1
ཁལ་མ				3
ཁས་དམན				1
ཁས་ལེན				2428
ཁས་ས				2
ཁུ				1233
ཁུ་ཁྲག				469
ཁུ་གུ				7
ཁུ་ཆུ				72
ཁུ་དབོན				159
ཁུ་པ				5
ཁུ་བ				4298
ཁུ་བོ				177
ཁུ་བྱུག				409
ཁུ་ཚན				26
ཁུ་ཚུར				3157
ཁུ་འཕངས				4
ཁུ་འཕྲིག				75
ཁུ་འབངས				1
ཁུ་ཡུ				13
ཁུ་ཡུག				1
ཁུ་ཡེ				1
ཁུ་ར				1
ཁུ་རྡུལ				129
ཁུ་ལེ				22
ཁུག				3298
ཁུག་པ				299
ཁུག་མ				35
ཁུག་རྟ				11
ཁུག་རྣ				45
ཁུག་སྣ				25
ཁུགས་པ				69
ཁུང				1971
ཁུང་པོ				1
ཁུང་བུ				871
ཁུངས				2669
ཁུངས་མ				46
ཁུངས་མེད				31
ཁུངས་ལུང				1
ཁུན་པ				2
ཁུམས				68
ཁུར				3584
ཁུར་ཆེན				71
ཁུར་ཐག				1
ཁུར་བ				499
ཁུར་མོང				1
ཁུར་ཚོད				4
ཁུར་ཚོས				3
ཁུར་འཛིན				42
ཁུར་རྩ				1
ཁུལ				253
ཁུས་འདེབས				11
ཁེ				1298
ཁེ་གྲགས				32
ཁེ་ཉེན				39
ཁེ་པ				10
ཁེ་སྐྱེད				4
ཁེ་སྤོགས				33
ཁེག				24
ཁེགས་པ				290
ཁེང				28
ཁེང་བ				3
ཁེང་ལོག				1
ཁེངས་གཏམ				5
ཁེངས་པ				1211
ཁེངས་མེད				21
ཁེངས་རློམ				4
ཁེངས་སེམས				61
ཁེངས་སྐྱུང				10
ཁེན				20
ཁེན་གནམ				1
ཁེན་པ				4
ཁེབ				41
ཁེབས				460
ཁེབས་གཅོད				1
ཁེབས་པ				301
ཁེབས་མ				1
ཁེལ་བ				100
ཁོ				9001
ཁོ་ཅག				4
ཁོ་ཉིད				94
ཁོ་ཐག				174
ཁོ་ན				26779
ཁོ་ན་ཉིད				2151
ཁོ་པ				15
ཁོ་བོ				5337
ཁོ་མོ				759
ཁོ་ར				16
ཁོ་རང				21
ཁོ་རེ				33
ཁོ་ལག				24
ཁོག				440
ཁོག་གཅོང				1
ཁོག་ཆུང				2
ཁོག་ཆུད				1
ཁོག་པ				733
ཁོག་མ				14
ཁོག་ཞུགས				18
ཁོག་འབུབས				10
ཁོག་ཡངས				6
ཁོག་སྟོང				33
ཁོག་སྟོད				41
ཁོག་སྦུབས				3
ཁོག་སྨད				35
ཁོང				20165
ཁོང་ཁྲག				15
ཁོང་ཁྲོ				621
ཁོང་ཁྲོ་བ				271
ཁོང་གཅོང				2
ཁོང་གསེང				157
ཁོང་ནང				4
ཁོང་ནད				5
ཁོང་མ				1
ཁོང་འཁྱིད				2
ཁོང་ཡངས				7
ཁོང་ཤོར				1
ཁོང་སེང				7
ཁོང་སྒྲིལ				1
ཁོང་སྙིང				29
ཁོང་སྙོམ				1
ཁོང་སྟོང				6
ཁོངས				4557
ཁོད				195
ཁོན				427
ཁོན་པ				4
ཁོབ				23
ཁོམ་པ				298
ཁོམ་ལོང				1
ཁོར				136
ཁོར་མོ				64
ཁོར་མོ་ཡུག				1
ཁོར་ཟུག				13
ཁོར་ཡུག				2312
ཁོར་ཡུག་རི				16
ཁོར་ས				13
ཁོལ				798
ཁོལ་ཁོལ				4
ཁོལ་པོ				133
ཁོལ་བ				173
ཁོལ་བུ				31
ཁོལ་མ				103
ཁོལ་མོ				90
ཁོས				337
ཁོས་པ				3
ཁྭ				422
ཁྭ་ཏ				85
ཁྭ་སྐད				4
ཁྱ་མ				2
ཁྱག				40
ཁྱག་པ				12
ཁྱད				6821
ཁྱད་གསོད				141
ཁྱད་ཆོས				3307
ཁྱད་དོན				23
ཁྱད་ནོར				26
ཁྱད་པར				2620
ཁྱད་པར་ཅན				12044
ཁྱད་མཚར				17
ཁྱད་འཕགས				464
ཁྱབ་གདལ				157
ཁྱབ་གནས				22
ཁྱབ་ཆ				1
ཁྱབ་པ				23983
ཁྱབ་བདག				3523
ཁྱབ་བརྡལ				227
ཁྱབ་བྱ				770
ཁྱབ་བྱེད				1886
ཁྱབ་བྱེད་རླུང				34
ཁྱབ་མཉམ				24
ཁྱབ་མཐའ				62
ཁྱབ་འགྲོ				6
ཁྱབ་འཇུག				2306
ཁྱབ་འཇུག་གནས				9
ཁྱབ་ལྡན				5
ཁྱབ་སྟོབས				3
ཁྱབ་སྤེལ				1
ཁྱམས				2476
ཁྱམས་ར				4
ཁྱམས་སྟོད				3
ཁྱམས་སྨད				1
ཁྱར་ཁྱོར				5
ཁྱི				3498
ཁྱི་གུ				7
ཁྱི་དུག				6
ཁྱི་ཕྲུག				2
ཁྱི་ཟུག				1
ཁྱི་ར				4
ཁྱི་ར་བ				19
ཁྱི་རོ				28
ཁྱི་རྐུན				11
ཁྱི་རྔོ				13
ཁྱི་རྦད་པ				2
ཁྱི་ལོ				71
ཁྱི་ཤིང				1
ཁྱི་སྤྱང				6
ཁྱི་སྤྲང				1
ཁྱི་སྨྱོན				34
ཁྱིད				7
ཁྱིམ				15051
ཁྱིམ་ཁོལ				7
ཁྱིམ་གནས				50
ཁྱིམ་གཞིས				2
ཁྱིམ་གཟའ				3
ཁྱིམ་གསར				8
ཁྱིམ་གྲངས				1
ཁྱིམ་གྲོགས				1
ཁྱིམ་ཅན				4
ཁྱིམ་ཆགས				3
ཁྱིམ་ཐབ				631
ཁྱིམ་ཐབས				119
ཁྱིམ་ནང				50
ཁྱིམ་ནོར				13
ཁྱིམ་པ				3664
ཁྱིམ་ཕུགས				19
ཁྱིམ་ཕྱྭ				48
ཁྱིམ་བདག				9441
ཁྱིམ་བྱ				89
ཁྱིམ་མི				2
ཁྱིམ་ཚང				11
ཁྱིམ་ཞག				127
ཁྱིམ་ཟླ				48
ཁྱིམ་འཛིན				11
ཁྱིམ་རྒྱུད				3
ཁྱིམ་ལས				39
ཁྱིམ་ལོ				34
ཁྱིམ་ལྡན				1
ཁྱིམ་ལྷ				1
ཁྱིམ་ས				1
ཁྱིམ་སོ				83
ཁྱིམ་སྤངས				17
ཁྱིའུ				65
ཁྱིར				14
ཁྱུ				98
ཁྱུ་གཡག				1
ཁྱུ་པ				2
ཁྱུ་མ				11
ཁྱུ་མཆོག				1753
ཁྱུ་ཚན				1
ཁྱུ་སྐད				1
ཁྱུག				122
ཁྱུག་པ				7
ཁྱུང				2636
ཁྱུང་ཁྲ				71
ཁྱུང་ཆེན				344
ཁྱུང་དཀར				13
ཁྱུང་པོ				389
ཁྱུང་སྔོན་སྐྱེས				4
ཁྱུང་སྡེར				8
ཁྱུད་མོ				26
ཁྱུད་འཁོར				3
ཁྱུར་ཁྱུར				1
ཁྱུར་མིད				21
ཁྱེ				17
ཁྱེ་ཉེན				2
ཁྱེ་མ				28
ཁྱེ་སྤོགས				2
ཁྱེད				48687
ཁྱེད་པ				8
ཁྱེམ				30
ཁྱེམ་བུ				13
ཁྱེར				9732
ཁྱེར་བ				1492
ཁྱེས				4
ཁྱོ་ག				25
ཁྱོ་ཕོ				8
ཁྱོ་བོ				8
ཁྱོ་མོ				3
ཁྱོ་ཤུག				196
ཁྱོག				45
ཁྱོག་པ				4
ཁྱོགས				426
ཁྱོགས་སྤྱིལ				1
ཁྱོད				109559
ཁྱོན				1825
ཁྱོམ་ཁྱོམ				5
ཁྱོར་བ				157
ཁྲ				1907
ཁྲ་ཁྲ				9
ཁྲ་པ				1
ཁྲ་བོ				371
ཁྲ་མ				6
ཁྲ་འབྲུག				26
ཁྲ་རིང				3
ཁྲ་རུ				1
ཁྲ་ལམ་མེ				19
ཁྲ་ཧོར				8
ཁྲག				18798
ཁྲག་ཁྲིག				3930
ཁྲག་ཁྲུག				37
ཁྲག་གཅོད				9
ཁྲག་གཏར				5
ཁྲག་ཆགས				7
ཁྲག་ཐིགས				3
ཁྲག་དྲོན				7
ཁྲག་ནད				45
ཁྲག་བཤལ				3
ཁྲག་མཁྲིས				49
ཁྲག་མདངས				1
ཁྲག་ཚབས				1
ཁྲག་ཞག				26
ཁྲག་འཁྲུག				2
ཁྲག་འཇིབ				1
ཁྲག་འཐུང				645
ཁྲག་འབབ				8
ཁྲག་འབྱིན				3
ཁྲག་འཛག				96
ཁྲག་འཛིན				10
ཁྲག་རུལ				19
ཁྲག་རོ				2
ཁྲག་རྐང				3
ཁྲག་རྒྱས				7
ཁྲག་རྒྱུད				8
ཁྲག་རྒྱུན				22
ཁྲག་རླངས				50
ཁྲག་རླུང				3
ཁྲག་ལམ				2
ཁྲག་ཤ				2
ཁྲག་སྐྱུག				32
ཁྲག་སྐྲན				4
ཁྲག་སྦྱོར				1
ཁྲད་ཁྲོད				1
ཁྲབ				455
ཁྲབ་ཆས				1
ཁྲབ་བྱང				1
ཁྲབ་མ				1
ཁྲབ་རྨོག				53
ཁྲམ				201
ཁྲམ་ཁྲམ				1
ཁྲམ་ཁྲུམ				10
ཁྲམ་ནག				10
ཁྲམ་པ				20
ཁྲམ་བམ				49
ཁྲམ་ཤིང				354
ཁྲལ				306
ཁྲལ་ཁྲལ				1
ཁྲལ་ཁྲོལ				1
ཁྲལ་འཇལ				5
ཁྲི				17336
ཁྲི་གདན				6
ཁྲི་གདུགས				24
ཁྲི་ཆེན				143
ཁྲི་པ				126
ཁྲི་ཕྲག				26
ཁྲི་བཙུན				24
ཁྲི་བཤམས				1
ཁྲི་མུན				21
ཁྲི་མོན				19
ཁྲི་ཟུར				2
ཁྲི་འདོན				4
ཁྲི་འཕང				38
ཁྲི་རལ				27
ཁྲི་ལམ				6
ཁྲི་ལྕོག				1
ཁྲི་ཤིང				3
ཁྲི་སྐོར				12
ཁྲི་སྒྱོགས				2
ཁྲི་སྙན				33
ཁྲི་སྟན				305
ཁྲིགས				897
ཁྲིགས་ཆགས				1
ཁྲིགས་སེ				8
ཁྲིད				16499
ཁྲིད་ཆེན				11
ཁྲིད་པ				612
ཁྲིད་ཡིག				3
ཁྲིམས				3362
ཁྲིམས་ཆས				3
ཁྲིམས་དཔོན				2
ཁྲིམས་དྲལ				11
ཁྲིམས་ཕོག				9
ཁྲིམས་མེད				4
ཁྲིམས་འགལ				1
ཁྲིམས་ཡིག				5
ཁྲིམས་ལུགས				21
ཁྲིམས་ལྡན				42
ཁྲིམས་སྲོལ				2
ཁྲིའུ				176
ཁྲིའུ་ཤིང				26
ཁྲིས				146
ཁྲུ				4928
ཁྲུང				198
ཁྲུང་མ				1
ཁྲུད་མ				9
ཁྲུན				37
ཁྲུམ་ཁྲུམ				24
ཁྲུམས				279
ཁྲུམས་ཟླ				1
ཁྲུམས་སྟོད				76
ཁྲུམས་སྨད				41
ཁྲུས				12815
ཁྲུས་ཁང				70
ཁྲུས་གཞོང				7
ཁྲུས་གསོལ				76
ཁྲུས་ཆལ				13
ཁྲུས་ཆུ				165
ཁྲུས་བུམ				64
ཁྲུས་མ				13
ཁྲུས་རས				24
ཁྲུས་རྫིང				11
ཁྲུས་སྡེར				3
ཁྲེ				14
ཁྲེ་རྒོད				40
ཁྲེགས་ཆོད				225
ཁྲེགས་པ				2
ཁྲེན				1
ཁྲེའུ				8
ཁྲེའུ་ཚེ				2
ཁྲེལ་གཞུང				1
ཁྲེལ་བ				143
ཁྲེལ་བགད				1
ཁྲེལ་མེད				196
ཁྲེལ་ཡོད				58
ཁྲེལ་རྒོད				2
ཁྲེས				22
ཁྲེས་པོ				73
ཁྲོ				6426
ཁྲོ་ཁང				14
ཁྲོ་གཉེར				923
ཁྲོ་གཏུམ				274
ཁྲོ་ཆུ				121
ཁྲོ་ཉམས				22
ཁྲོ་དཀར				1
ཁྲོ་ནག				10
ཁྲོ་བ				2650
ཁྲོ་བོ				10114
ཁྲོ་མིག				1
ཁྲོ་མོ				1473
ཁྲོ་ཟངས				4
ཁྲོ་འཁྲུགས				16
ཁྲོ་འཇོམས				1
ཁྲོ་རྒྱལ				1885
ཁྲོ་རྔམས				4
ཁྲོ་ལྕགས				7
ཁྲོ་ལྡན				5
ཁྲོ་སེམས				20
ཁྲོག				37
ཁྲོད				2606
ཁྲོན་པ				578
ཁྲོན་བུ				10
ཁྲོན་མ				3
ཁྲོན་སྐྱོགས				2
ཁྲོམ				1306
ཁྲོམ་ཁྲོམ				6
ཁྲོམ་གཞུང				1
ཁྲོམ་གསེབ				3
ཁྲོམ་ཆུ				4
ཁྲོམ་ཆེན				6
ཁྲོམ་ཐོག				1
ཁྲོམ་བསྒྲགས				1
ཁྲོམ་ཚོགས				22
ཁྲོམ་ལམ				2
ཁྲོམ་ས				2
ཁྲོམས				5
ཁྲོལ				2175
ཁྲོལ་བ				32
ཁྲོལ་བུ				4
ཁྲོས་པ				1165
ཁྲོས་མ				46
ག				23661
ག་ག་ཚིལ				62
ག་གཞུང				2
ག་གེ་མོ				59
ག་གོན				128
ག་ཆད				10
ག་དུར				4
ག་པུར				186
ག་བུར				5
ག་ཚོད				54
ག་ཞ				35
ག་འདྲ				5
ག་འུ				28
ག་རེ				447
ག་ལ				84
ག་ལེ				41
ག་ཤ				28
ག་ཤལ				70
ག་ཤེད				101
ག་ས				8
གག				80
གག་པ				82
གང་ག				43
གང་ག་ཆུང				1
གང་གཱ				96
གང་ཉིད				64
གང་དག				175
གང་པོ				1267
གང་ཕྱོགས				1
གང་བ				6574
གང་བུ				245
གང་ཞིག				1
གང་ཟག				40141
གང་འདྲ				1
གང་ཡང				1
གང་རིགས				21
གང་རུང				393
གང་ལོ				1
གང་ས				11
གང་སྟོང				2
གངས				1537
གངས་ཅན				3318
གངས་ཆུ				42
གངས་ཐུལ				1
གངས་དཀར				338
གངས་མདོག				2
གངས་རི				809
གངས་རྒན				1
གངས་རྒྱལ				1
གངས་ལྗོངས				93
གངས་ལྡན				28
གངས་སྦལ				3
གཅག				37
